month,"Retail and food services sales, total",Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
"Monday, January 1, 2007",363616,75399,69294,6105,18838,9609,9229,27533,24620,44856,40253,3077,19423,16668,34244,18493,13515,782,3392,2278,2543,6489,48034,18064,29970,26298,3672,9629,24243,17558,2731,36435
"Thursday, February 1, 2007",364006,75841,69794,6047,18492,9369,9123,27088,24037,45274,40646,3129,19401,16620,34932,18144,13294,770,3363,2150,2536,6494,47293,17586,29707,26123,3584,9489,25505,17989,3577,36053
"Thursday, March 1, 2007",367158,75472,69224,6248,18432,9406,9026,27506,24171,45271,40572,3170,19540,16723,35999,18643,13689,738,3404,2288,2502,6779,48132,17798,30334,26651,3683,9771,25034,18149,2911,36579
"Sunday, April 1, 2007",366187,76205,70074,6131,18438,9430,9008,26610,23833,44988,40416,3103,19572,16750,36350,18189,13290,747,3369,2216,2521,6640,47679,17480,30199,26550,3649,9586,25303,18143,3192,36627
"Tuesday, May 1, 2007",370934,77186,70918,6268,18421,9331,9090,27144,24057,45454,40740,3214,19650,16792,37996,18545,13564,739,3540,2204,2618,6805,47887,17521,30366,26709,3657,9843,25271,18421,2949,36732
"Friday, June 1, 2007",368154,74794,68600,6194,18287,9264,9023,26638,23748,45627,40870,3257,19880,16868,37310,18388,13416,724,3433,2230,2579,6850,47852,17328,30524,26882,3642,9988,25462,18586,2879,37078
"Sunday, July 1, 2007",369614,74932,68703,6229,18403,9315,9088,26860,23847,45754,41044,3225,19831,16949,36963,18522,13471,720,3112,2266,2621,6936,48412,17559,30853,27198,3655,9759,25970,19087,2899,37272
"Wednesday, August 1, 2007",371358,76549,70288,6261,18574,9300,9274,26625,23568,45643,40954,3184,20014,16975,37223,18491,13484,667,3374,2263,2584,6780,48704,17527,31177,27479,3698,9740,25826,18920,2908,37189
"Saturday, September 1, 2007",372869,77176,70881,6295,18315,9141,9174,26412,23217,45853,41095,3198,20132,17003,38210,18412,13426,705,3323,2219,2603,6749,48288,17260,31028,27353,3675,9783,26112,19012,3126,37427
"Monday, October 1, 2007",375289,77617,71206,6411,18435,9142,9293,26248,23030,46113,41379,3156,19988,16942,39307,18431,13444,718,3343,2208,2614,6834,48540,17292,31248,27508,3740,9620,26397,19323,3119,37759
"Thursday, November 1, 2007",378860,75921,69638,6283,18656,9094,9562,26566,23042,46624,41868,3182,19938,16950,41985,18759,13689,736,3353,2249,2657,6940,49047,17346,31701,27924,3777,9632,27065,19603,3440,37727
"Saturday, December 1, 2007",374298,73345,67126,6219,18377,9009,9368,25634,22691,46831,41998,3235,19825,17069,41593,18570,13576,752,3338,2248,2580,6756,49302,17199,32103,28269,3834,9688,26268,18719,3480,38109
"Tuesday, January 1, 2008",375236,73834,67606,6228,18048,8873,9175,25721,22639,46862,42159,3196,20120,17208,42423,18542,13494,755,3267,2249,2631,6818,48951,16813,32138,28279,3859,10074,26019,18688,3382,37824
"Friday, February 1, 2008",371833,72206,65976,6230,17790,8594,9196,25659,22444,46707,42016,3196,20279,17375,42504,18280,13361,725,3285,2207,2550,6751,48927,16822,32105,28367,3738,9380,26101,18729,3532,37249
"Saturday, March 1, 2008",372745,71774,65537,6237,17802,8631,9171,25456,22258,46883,42168,3217,20288,17321,43044,18338,13271,732,3268,2256,2642,6733,48990,16697,32293,28575,3718,9355,26530,18891,3805,37552
"Tuesday, April 1, 2008",372572,70052,63765,6287,17892,8606,9286,25292,22276,47356,42584,3237,20172,17246,42933,18384,13401,726,3310,2288,2527,6809,49433,16708,32725,28946,3779,9277,27243,19293,4044,37729
"Thursday, May 1, 2008",376036,69143,62769,6374,18117,8587,9530,25650,22413,47355,42549,3263,20536,17521,44344,18642,13564,732,3312,2347,2566,6949,50375,16916,33459,29602,3857,9310,27526,19478,4061,38089
"Sunday, June 1, 2008",376455,67161,60739,6422,17778,8473,9305,25700,22379,47568,42683,3315,20497,17511,46547,18708,13594,729,3280,2336,2614,6879,50762,17059,33703,29841,3862,9308,27403,19472,3970,38144
"Tuesday, July 1, 2008",375038,64397,57934,6463,17698,8369,9329,25897,22431,47845,42899,3350,20640,17571,46813,18635,13491,697,3299,2324,2654,6858,50582,16779,33803,29922,3881,9583,27823,19673,4177,38267
"Friday, August 1, 2008",372284,64985,58687,6298,17355,8154,9201,25329,22041,47988,43063,3335,20620,17695,45645,18524,13426,704,3278,2318,2612,6931,50131,16645,33486,29649,3837,9163,27374,19387,3918,38239
"Monday, September 1, 2008",366729,62549,56200,6349,16536,7722,8814,25217,21861,47740,42834,3320,20654,17634,45777,17560,12841,684,3195,2168,2403,6536,49436,16079,33357,29572,3785,9080,27258,19482,3883,38386
"Wednesday, October 1, 2008",352950,56599,50253,6346,16467,7735,8732,24568,21406,47703,42768,3354,20659,17683,40584,17317,12612,655,3068,2168,2380,6426,49260,16016,33244,29462,3782,8914,26333,19010,3630,38120
"Saturday, November 1, 2008",339350,54984,48542,6442,16377,7640,8737,23196,20072,47363,42496,3343,20789,17756,31776,17173,12703,654,3041,2162,2154,6431,49464,16329,33135,29382,3753,8630,25149,18197,3324,38018
"Monday, December 1, 2008",332091,54123,47728,6395,15811,7460,8351,22909,19812,46942,42136,3304,20682,17721,27999,16868,12549,631,2928,2125,2053,6470,48906,15839,33067,29302,3765,8564,24751,18383,2810,38066
"Thursday, January 1, 2009",336929,55790,49379,6411,16247,7363,8884,22758,19652,47639,42771,3375,20753,17653,28818,17159,12812,642,2960,2118,2088,6661,49288,15861,33427,29613,3814,8511,25049,18702,2890,38256
"Sunday, February 1, 2009",335576,54188,47822,6366,16129,7285,8844,22498,19508,46928,42101,3311,20906,17943,29860,17401,12955,636,2978,2152,2151,6535,49199,15627,33572,29669,3903,8746,25241,18832,2762,37945
"Sunday, March 1, 2009",329747,53100,46853,6247,15140,7041,8099,22149,19145,46912,42069,3327,20908,18015,28825,16510,12211,607,2915,2100,2060,6360,48840,15532,33308,29434,3874,8615,24941,18701,2720,37447
"Wednesday, April 1, 2009",331352,53557,47280,6277,15116,7067,8049,22092,19098,47133,42288,3323,21059,18190,28747,16900,12506,645,3042,2109,2148,6514,48887,15638,33249,29311,3938,8677,24932,18816,2625,37738
"Friday, May 1, 2009",334256,54089,47827,6262,15113,7087,8026,22310,19337,47219,42300,3366,21121,18164,30488,17038,12651,627,3031,2103,2132,6453,49085,15727,33358,29376,3982,8426,25159,19070,2599,37755
"Monday, June 1, 2009",339883,56611,50407,6204,15131,7092,8039,22332,19218,47350,42530,3300,21055,18070,33375,16817,12390,614,2996,2110,2148,6473,48792,15427,33365,29421,3944,8465,25768,19455,2771,37714
"Wednesday, July 1, 2009",340517,57748,51605,6143,15004,7039,7965,21883,18911,47330,42480,3335,21027,18102,33066,17015,12596,639,2988,2131,2136,6455,48812,15493,33319,29372,3947,8352,26110,19839,2659,37715
