Abbreviation,Row,Col,Lockdown,Id
ME,1,12,1,47
AK,2,1,2,26
VT,2,11,2,49
NH,2,12,2,38
WA,3,2,2,0
ID,3,3,2,36
MT,3,4,2,31
ND,3,5,0,44
MN,3,6,2,37
WI,3,7,2,30
MI,3,8,2,24
NY,3,10,2,11
MA,3,11,2,20
RI,3,12,2,16
OR,4,2,2,12
UT,4,3,1,10
WY,4,4,0,35
SD,4,5,0,45
IA,4,6,0,18
IL,4,7,2,13
OH,4,8,2,15
PA,4,9,1,9
NJ,4,10,2,14
CT,4,11,2,19
CA,5,2,2,2
NV,5,3,0,33
CO,5,4,2,21
NE,5,5,0,43
MO,5,6,1,41
IN,5,7,2,7
WV,5,8,2,3
VA,5,9,2,32
MD,5,10,2,6
DE,5,11,2,29
AZ,6,3,0,27
NM,6,4,2,25
KS,6,5,2,17
AR,6,6,0,28
KY,6,7,2,8
TN,6,8,1,34
SC,6,9,1,42
NC,6,10,2,22
HI,7,1,2,4
OK,7,5,1,48
LA,7,6,2,23
MS,7,7,1,5
AL,7,8,1,40
GA,7,9,1,46
TX,8,6,1,39
FL,8,10,1,1
